MatrixSize, ThreadCount, MeanDuration, ConfidenceIntervalLower, ConfidenceIntervalUpper
50, 1, 3.7, 1.81901, 5.58099
50, 2, 3.1, -0.149701, 6.3497
50, 4, 2.1, 0.570446, 3.62955
50, 10, 3.5, -0.840858, 7.84086
50, 20, 4.6, 0.468164, 8.73184
100, 1, 11.2, 7.81879, 14.5812
100, 2, 14.8, 9.3064, 20.2936
100, 4, 8, 5.20056, 10.7994
100, 10, 7.9, 3.11945, 12.6806
100, 20, 7.9, 4.22846, 11.5715
150, 1, 33, 27.9647, 38.0353
150, 2, 29.9, 22.3778, 37.4222
150, 4, 38.3, 21.6157, 54.9843
150, 10, 112.5, 32.1963, 192.804
150, 20, 20.1, 14.765, 25.435
200, 1, 112.6, 93.9909, 131.209
200, 2, 50.5, 46.8621, 54.1379
200, 4, 45.3, 40.4114, 50.1886
200, 10, 42, 39.0665, 44.9335
200, 20, 41.7, 35.2525, 48.1475
250, 1, 136.2, 124.642, 147.758
250, 2, 91.9, 86.3462, 97.4538
250, 4, 84.9, 80.8598, 88.9402
250, 10, 78.5, 75.0131, 81.9869
250, 20, 83.4, 73.8293, 92.9707
300, 1, 264.3, 239.387, 289.213
300, 2, 156.8, 151.047, 162.553
300, 4, 140.5, 128.181, 152.819
300, 10, 126.6, 120.641, 132.559
300, 20, 136.7, 130.866, 142.534
350, 1, 428, 358.98, 497.02
350, 2, 263, 251.693, 274.307
350, 4, 235.6, 224.074, 247.126
350, 10, 217.7, 212.311, 223.089
350, 20, 223.4, 212.27, 234.53
400, 1, 676.2, 614.145, 738.255
400, 2, 414.9, 392.372, 437.428
400, 4, 343.3, 330.771, 355.829
400, 10, 337.6, 327.317, 347.883
400, 20, 308.6, 288.789, 328.411
450, 1, 1023, 994.175, 1051.82
450, 2, 597.4, 568.947, 625.853
450, 4, 512, 490.39, 533.61
450, 10, 496, 476.38, 515.62
450, 20, 457.4, 430.487, 484.313
500, 1, 1484.3, 1441.12, 1527.48
500, 2, 919.2, 891.943, 946.457
500, 4, 758.8, 742.304, 775.296
500, 10, 718, 693.019, 742.981
500, 20, 711.7, 684.296, 739.104
550, 1, 2178.1, 2059.09, 2297.11
550, 2, 1268.7, 1228.97, 1308.43
550, 4, 1109.1, 1074.77, 1143.43
550, 10, 1072.7, 1022.17, 1123.23
550, 20, 1024.4, 993.512, 1055.29
600, 1, 2961.5, 2906.83, 3016.17
600, 2, 1756.6, 1721.93, 1791.27
600, 4, 1623.5, 1514.74, 1732.26
600, 10, 1696.3, 1525.8, 1866.8
600, 20, 1479.7, 1375.64, 1583.76
650, 1, 4025.4, 3953.51, 4097.29
650, 2, 2307.6, 2280.04, 2335.16
650, 4, 1950, 1920.15, 1979.85
650, 10, 1900.6, 1861.2, 1940
650, 20, 1894.2, 1857, 1931.4
700, 1, 5164.4, 5091.72, 5237.08
700, 2, 3101, 3030.81, 3171.19
700, 4, 2527.4, 2490.16, 2564.64
700, 10, 2504.6, 2456.19, 2553.01
700, 20, 2489.6, 2429.6, 2549.6
750, 1, 6415.3, 6357.47, 6473.13
750, 2, 3881.7, 3763.97, 3999.43
750, 4, 3292.2, 3232.75, 3351.65
750, 10, 3254.4, 3190.94, 3317.86
750, 20, 3334.1, 3159.53, 3508.67
800, 1, 8704.7, 8635.25, 8774.15
800, 2, 5381, 5235.08, 5526.92
800, 4, 4457.3, 4326.04, 4588.56
800, 10, 4248.5, 4152.42, 4344.58
800, 20, 4245, 4149.53, 4340.47
